Road Category,Type of Network Intervention,Number of Province,Geographical Profile,Natura 2000 (Post 1998),EHS/GHS,GDP,3 years Average GDP Growth,RDP,Population,Change of Power,Ideoogy ,c/km2,Duration (years)
National,Modification,2,Rural,No,Yes,414838,0.053703539,0.2715,3601880,No,CenterLeft,20357.33251,6.67
National,Modification,1,Rural,No,No,545609,0.033350577,0.0612,1136695,No,Center,6868.199366,5.04
National,New,1,Combination,No,Yes,523939,0.032014268,0.1864,2587265,No,Center,11389.30057,2.95
National,Modification,1,Rural,No,Yes,364961,0.057197969,0.0826,1079428,Yes,CenterLeft,9363.410326,4.38
National,Modification,1,Combination,No,Yes,639163,0.054203372,0.0844,1201350,Yes,Center-Right ,10836.177,2.42
Provincial,Modification,2,Rural,No,Yes,494501,0.060448747,0.0738,1435753,Yes,Center,9276.929775,5.54
National,Modification,2,Rural,No,Yes,308909,0.04235228,0.3242,5164595,Yes,Center-Left,13370.8098,14.00
National,Modification,2,Rural,Yes,Yes,579212,0.045676375,0.2675,3786623,No,Center,22096.36228,3.59
National,Modification,1,Rural,No,Yes,293610,0.044177598,0.1494,2243546,No,Center,4256.673762,2.79
National,Modification,1,Rural,No,No,545609,0.033350577,0.0612,1136695,No,Center,6868.199366,1.50
National,Modification,1,Urban,No,No,308909,0.04235228,0.1494,2259779,Yes,Center-Left,4348.547697,5.75
National,Modification,1,Urban,No,No,325341,0.045099165,0.0330,609579,Yes,Center-Left,2347.527638,9.08
National,Modification,1,Urban,No,Yes,545609,0.033350577,0.1857,2599103,No,Center,11495.00193,1.95
National,Modification,2,Rural,No,Yes,545609,0.033350577,0.3031,4629672,No,Center,23705.57927,4.92
National,Modification,2,Combination,No,Yes,545609,0.033350577,0.2021,2964962,No,Center,16251.16893,2.06
National,Modification,1,Rural,Yes,Yes,613280,0.053921893,0.1467,2419042,No,Center,6724.632478,2.30
National,Modification,1,Rural,No,Yes,545609,0.033350577,0.0859,1171291,No,Center,10691.14551,5.04
National,Modification,1,Rural,No,Yes,545609,0.033350577,0.1857,2599103,No,Center,11495.00193,4.58
National,Modification,1,Rural,No,Yes,545609,0.033350577,0.0859,1171291,No,Center,10691.14551,4.42
National,Modification,2,Combination,No,Yes,545609,0.033350577,0.0811,1592801,No,Center,8253.494209,3.51
