No,Startnotitie,Road Category,Type of Network Intervention,Number of Province,Tracewet 2005,Geographical Profile,Natura 2000 (Post 1998),GDP,EHS/GHS,3 years Average GDP Growth,RDP,Population,Change of Power,c/km2,Idea,Category
1,A2 Holendrecht-Oudenrijn,National,Modification,2,No,Rural,No,414838,Yes,0.053703539,0.2715,3601880,No,20357.33251,CenterLeft,Longterm
2,A2 Maasbracht-Geleen,National,Modification,1,Yes,Rural,No,545609,No,0.033350577,0.0612,1136695,No,6868.199366,Center,Longterm
3,A10 Tweede Coentunnel / A5 Westrandweg,National,New,1,No,Combination,No,523939,Yes,0.032014268,0.1864,2587265,No,11389.30057,Center,Short Term
4,A12 Utrecht-Veenendaal,National,Modification,1,No,Rural,No,364961,Yes,0.057197969,0.0826,1079428,Yes,9363.410326,CenterLeft,Medium Term
5,A28 Utrecht-Amersfoort,National,Modification,1,Yes,Combination,No,639163,Yes,0.054203372,0.0844,1201350,Yes,10836.177,Center-Right ,Short Term
6,N50 Ramspol-Ens,Provincial,Modification,2,No,Rural,No,494501,Yes,0.060448747,0.0738,1435753,Yes,9276.929775,Center,Longterm
7,A2 Everdingen - Deil,National,Modification,2,No,Rural,No,308909,Yes,0.04235228,0.3242,5164595,Yes,13370.8098,Center-Left,Longterm
8,A2 Holendrecht-Maarssen (A2 Holendrecht-Oudenrijn),National,Modification,2,Yes,Rural,Yes,579212,Yes,0.045676375,0.2675,3786623,No,22096.36228,Center,Medium Term
9,A2 Rondweg Den Bosch,National,Modification,1,No,Rural,No,293610,Yes,0.044177598,0.1494,2243546,No,4256.673762,Center,Short Term
10,A2 St.Joost-Urmond,National,Modification,1,Yes,Rural,No,545609,No,0.033350577,0.0612,1136695,No,6868.199366,Center,Short Term
11,A2 Tangenten Eindhoven,National,Modification,1,No,Urban,No,308909,No,0.04235228,0.1494,2259779,Yes,4348.547697,Center-Left,Longterm
12,A7 Rondweg Sneek,National,Modification,1,No,Urban,No,325341,No,0.045099165,0.0330,609579,Yes,2347.527638,Center-Left,Longterm
13,A9 Holendrecht-Diemen,National,Modification,1,Yes,Urban,No,545609,Yes,0.033350577,0.1857,2599103,No,11495.00193,Center,Short Term
14,A12 Woerden-Gouda,National,Modification,2,Yes,Rural,No,545609,Yes,0.033350577,0.3031,4629672,No,23705.57927,Center,Longterm
15,A1 Diemen-Muiderberg & A1/A6 Muiderberg-Almere Stad West,National,Modification,2,Yes,Combination,No,545609,Yes,0.033350577,0.2021,2964962,No,16251.16893,Center,Short Term
16,A2 Leenderheide-Valkenswaard,National,Modification,1,Yes,Rural,Yes,613280,Yes,0.053921893,0.1467,2419042,No,6724.632478,Center,Short Term
17,A2/A27 Everdingen-Lunetten,National,Modification,1,Yes,Rural,No,545609,Yes,0.033350577,0.0859,1171291,No,10691.14551,Center,Longterm
18,A9 Raasdorp-Badhoevedorp & A9 Velsen-Raasdorp,National,Modification,1,Yes,Rural,No,545609,Yes,0.033350577,0.1857,2599103,No,11495.00193,Center,Medium Term
19,A12 Woerden-Oudenrijn,National,Modification,1,Yes,Rural,No,545609,Yes,0.033350577,0.0859,1171291,No,10691.14551,Center,Medium Term
20,A28 Zwolle - Meppel,National,Modification,2,Yes,Combination,No,545609,Yes,0.033350577,0.0811,1592801,No,8253.494209,Center,Medium Term
21,A50 Valburg-Grijsoord,National,Modification,1,No,Combination,No,340964,Yes,0.05110686,0.1029,1876299,Yes,4768.926625,Center-Left,Longterm
22,A58 Eindhoven-Oirschot,National,Modification,1,Yes,Rural,No,579212,Yes,0.045676375,0.1474,2415946,No,6594.468956,Center,Short Term
23,N34 Omleiding Ommen,Provincial,Modification,1,No,Urban,No,325341,Yes,0.045099165,0.0593,1050389,Yes,3553.652505,Center-Left,Longterm
24,A9 Alkmaar-Uitgeest,National,Modification,1,Yes,Rural,No,613280,Yes,0.053921893,0.1810,2613070,No,11666.43374,Center,Medium Term
25,A12 Zoetermeer-Zoetermeer centrum (noordbaan),National,Modification,1,Yes,Urban,No,617540,No,0.022397292,0.2117,3481558,No,13513.1658,Center,Short Term
26,A74 Venlo,National,New,1,No,Rural,No,325341,No,0.045099165,0.0642,1130050,Yes,4648.614773,Center-Left,Longterm
27,N9 Koedijk-De Stolpen,Provincial,Modification,1,No,Rural,No,325341,Yes,0.05110686,0.1814,2463611,Yes,8829.972099,Center-Left,Longterm
28,N200 Halfweg,Provincial,Modification,1,No,Urban,No,293610,No,0.04235228,0.1830,2440165,No,8480.177376,Center,Longterm
29,A4 Burgerveen - Leiden,National,Modification,1,No,Combination,No,308909,Yes,0.04235228,0.2204,3313193,Yes,9668.005803,Center-Left,Medium Term
30,A4 Dinteloord-Bergen op Zoom,National,New,1,No,Rural,No,285059,Yes,0.053703539,0.1494,2225331,No,4064.157142,Center,Longterm
