No,Startnotitie,Decision to start,Road Category,Type of Network Intervention,Number of Province,Tracewet 2005,Geographical Profile,Natura 2000 (Post 1998),EHS/GHS,GDP,3 years Average GDP Growth,RDP,Population,Previous Election year,Change of Power,c/km2,Idea ,Above Average?
1,A2 Holendrecht-Oudenrijn,1999,National,Modification,2,No,Rural,No,Yes,414838,0.053703539,0.2715,3601880,1998,No,20357.33251,CenterLeft,YES
2,A2 Maasbracht-Geleen,2005,National,Modification,1,Yes,Rural,No,No,545609,0.033350577,0.0612,1136695,2003,No,6868.199366,Center,YES
3,A10 Tweede Coentunnel / A5 Westrandweg,2004,National,New,1,No,Combination,No,Yes,523939,0.032014268,0.1864,2587265,2003,No,11389.30057,Center,NO
4,A12 Utrecht-Veenendaal,1997,National,Modification,1,No,Rural,No,Yes,364961,0.057197969,0.0826,1079428,1994,Yes,9363.410326,CenterLeft,NO
5,A28 Utrecht-Amersfoort,2008,National,Modification,1,Yes,Combination,No,Yes,639163,0.054203372,0.0844,1201350,2010,Yes,10836.177,Center-Right ,NO
6,N50 Ramspol-Ens,2002,Provincial,Modification,2,No,Rural,No,Yes,494501,0.060448747,0.0738,1435753,On Election,Yes,9276.929775,Center,YES
7,A2 Everdingen - Deil,1994,National,Modification,2,No,Rural,No,Yes,308909,0.04235228,0.3242,5164595,On Election,Yes,13370.8098,Center-Left,YES
8,A2 Holendrecht-Maarssen (A2 Holendrecht-Oudenrijn),2006,National,Modification,2,Yes,Rural,Yes,Yes,579212,0.045676375,0.2675,3786623,On Election,No,22096.36228,Center,NO
9,A2 Rondweg Den Bosch,1993,National,Modification,1,No,Rural,No,Yes,293610,0.044177598,0.1494,2243546,1989,No,4256.673762,Center,NO
10,A2 St.Joost-Urmond,2005,National,Modification,1,Yes,Rural,No,No,545609,0.033350577,0.0612,1136695,2003,No,6868.199366,Center,NO
11,A2 Tangenten Eindhoven,1994,National,Modification,1,No,Urban,No,No,308909,0.04235228,0.1494,2259779,On Election,Yes,4348.547697,Center-Left,YES
12,A7 Rondweg Sneek,1995,National,Modification,1,No,Urban,No,No,325341,0.045099165,0.0330,609579,1994,Yes,2347.527638,Center-Left,YES
13,A9 Holendrecht-Diemen,2005,National,Modification,1,Yes,Urban,No,Yes,545609,0.033350577,0.1857,2599103,2003,No,11495.00193,Center,NO
14,A12 Woerden-Gouda,2005,National,Modification,2,Yes,Rural,No,Yes,545609,0.033350577,0.3031,4629672,2003,No,23705.57927,Center,YES
15,A1 Diemen-Muiderberg & A1/A6 Muiderberg-Almere Stad West,2005,National,Modification,2,Yes,Combination,No,Yes,545609,0.033350577,0.2021,2964962,2003,No,16251.16893,Center,NO
16,A2 Leenderheide-Valkenswaard,2007,National,Modification,1,Yes,Rural,Yes,Yes,613280,0.053921893,0.1467,2419042,2006,No,6724.632478,Center,NO
17,A2/A27 Everdingen-Lunetten,2005,National,Modification,1,Yes,Rural,No,Yes,545609,0.033350577,0.0859,1171291,2003,No,10691.14551,Center,YES
18,A9 Raasdorp-Badhoevedorp & A9 Velsen-Raasdorp,2005,National,Modification,1,Yes,Rural,No,Yes,545609,0.033350577,0.1857,2599103,2003,No,11495.00193,Center,NO
19,A12 Woerden-Oudenrijn,2005,National,Modification,1,Yes,Rural,No,Yes,545609,0.033350577,0.0859,1171291,2003,No,10691.14551,Center,NO
20,A28 Zwolle - Meppel,2005,National,Modification,2,Yes,Combination,No,Yes,545609,0.033350577,0.0811,1592801,2003,No,8253.494209,Center,NO
21,A50 Valburg-Grijsoord,1996,National,Modification,1,No,Combination,No,Yes,340964,0.05110686,0.1029,1876299,1994,Yes,4768.926625,Center-Left,YES
22,A58 Eindhoven-Oirschot,2006,National,Modification,1,Yes,Rural,No,Yes,579212,0.045676375,0.1474,2415946,On Election,No,6594.468956,Center,NO
23,N34 Omleiding Ommen,1995,Provincial,Modification,1,No,Urban,No,Yes,325341,0.045099165,0.0593,1050389,1994,Yes,3553.652505,Center-Left,YES
24,A9 Alkmaar-Uitgeest,2007,National,Modification,1,Yes,Rural,No,Yes,613280,0.053921893,0.1810,2613070,2006,No,11666.43374,Center,NO
25,A12 Zoetermeer-Zoetermeer centrum (noordbaan),2009,National,Modification,1,Yes,Urban,No,No,617540,0.022397292,0.2117,3481558,2006,No,13513.1658,Center,NO
26,A74 Venlo,1995,National,New,1,No,Rural,No,No,325341,0.045099165,0.0642,1130050,1994,Yes,4648.614773,Center-Left,YES
27,N9 Koedijk-De Stolpen,1995,Provincial,Modification,1,No,Rural,No,Yes,325341,0.05110686,0.1814,2463611,1994,Yes,8829.972099,Center-Left,YES
28,N200 Halfweg,1993,Provincial,Modification,1,No,Urban,No,No,293610,0.04235228,0.1830,2440165,1989,No,8480.177376,Center,YES
29,A4 Burgerveen - Leiden,1994,National,Modification,1,No,Combination,No,Yes,308909,0.04235228,0.2204,3313193,On Election,Yes,9668.005803,Center-Left,NO
30,A4 Dinteloord-Bergen op Zoom,1992,National,New,1,No,Rural,No,Yes,285059,0.053703539,0.1494,2225331,1989,No,4064.157142,Center,NO
31,N11 Zoeterwoude-Alphen aan den Rijn,2002,Provincial,Modification,1,No,Rural,No,Yes,494501,0.060448747,0.2145,3423780,On Election,Yes,12523.82684,Center,YES
32,N31 Leeuwarden (Haak),2002,Provincial,New,1,No,Combination,No,Yes,494501,0.060448747,0.0316,636184,On Election,Yes,3235.22839,Center,NO
33,N33 Assen-Zuidbroek,2006,Provincial,Modification,2,Yes,Rural,No,Yes,579212,0.045676375,0.0687,1058523,On Election,No,7387.079503,Center,NO
34,N61 Hoek-Schoondijke,1998,Provincial,Modification,1,No,Rural,No,Yes,389315,0.06755634,0.0207,369949,On Election,No,2003.009586,Center-Left,YES
35,Kanaalkruising Sluiskil,2003,Provincial,New,1,No,Rural,No,Yes,506671,0.041956742,0.0212,378348,On Election,No,2222.7945,Center,NO
36,A28/A1 Knooppunt Hoevelaken,2008,National,Modification,1,Yes,Rural,Yes,Yes,639163,0.054203372,0.0844,1201350,2006,No,10836.177,Center,YES
37,A7/A8 Purmerend - Zaandam - Coenplein,2002,National,Modification,1,No,Rural,No,Yes,494501,0.060448747,0.1856,2559477,On Election,Yes,11476.36461,Center,NO
38,A12 Ede - Grijsoord,1997,National,Modification,1,No,Rural,No,Yes,364961,0.061710222,0.1035,1886109,1994,Yes,4885.546229,Center-Left,YES
39,A15 Maasvlakte - Vaanplein,1996,National,Modification,1,No,Urban,No,No,340964,0.05110686,0.2166,3332860,1994,Yes,10794.92708,Center-Left,NO
40,A4 Delft-Schiedam,2004,National,New,1,No,Combination,No,No,523939,0.032014268,0.2151,3451942,2003,No,12929.6424,Center,YES
41,A2 passage Maastricht,2004,National,Modification,1,No,Urban,No,Yes,523939,0.032014268,0.0628,1139335,2003,No,6852.056972,Center,YES
42,A9 omlegging Badhoevedorp,2007,National,Modification,1,Yes,Urban,No,Yes,613280,0.053921893,0.1810,2613070,2006,No,11666.43374,Center,NO
43,A50 Ewijk - Valburg,1996,National,Modification,1,No,Rural,No,Yes,340964,0.05110686,0.1029,1876299,1994,Yes,4768.926625,Center-Left,YES
44,N50 Ens - Emmeloord,2011,Provincial,Modification,1,Yes,Rural,No,Yes,642929,0.002291302,0.0172,391967,2010,Yes,5683.5215,Center-Right ,NO
45,A1 Apeldoorn-Zuid - Beekbergen,2009,National,Modification,1,Yes,Combination,No,No,617540,0.022397292,0.1029,1991062,2006,No,6039.115205,Center,NO
46,N18 Varsseveld-Enschede,2005,Provincial,Modification,2,Yes,Combination,No,Yes,545609,0.033350577,0.2783,3081442,2003,No,10857.72655,Center,YES
47,N31 Harlingen (traverse Harlingen),2009,Provincial,Modification,1,Yes,Rural,No,No,617540,0.022397292,0.0314,644811,2006,No,3645.96837,Center,NO
48,N35 Zwolle - Wijthmen,2010,Provincial,Modification,1,Yes,Combination,No,No,631512,0.010333096,0.0596,1130345,On Election,Yes,5305.70102,Center-Right ,NO
49,"A27/A1 Utrecht-Noord - knooppunt Eemnes -
aansluiting Bunschoten-Spakenburg",2008,National,Modification,1,Yes,Rural,No,Yes,639163,0.054203372,0.0844,1201350,2006,No,10836.177,Center,NO
50,A27/A12 Ring Utrecht,2008,National,Modification,1,Yes,Combination,No,Yes,639163,0.054203372,0.0844,1201350,2006,No,10836.177,Center,YES
51,A1/A6/A9 Schiphol-Amsterdam-Almere,2004,National,Modification,2,No,Combination,Yes,Yes,523939,0.032014268,0.2367,2947169,2003,No,16046.2402,Center,YES
52,A12/A15 Ressen - Oudbroeken (ViA15),2008,National,Modification,1,Yes,Urban,Yes,Yes,639163,0.054203372,0.1013,1983869,2006,No,5925.330589,Center,YES
53,Rijnlandroute (A4 and A44),2008,National,Modification,1,Yes,Combination,No,Yes,639163,0.054203372,0.2133,3461435,2006,No,13229.72191,Center,YES
